disk,capacity,type,node
sdi,1.8T,WD2000FYYZ-23UL,c14.3
sdj,1.8T,WD2000FYYZ-23UL,c14.3
sdk,1.8T,WD2000FYYZ-23UL,c14.3
sda,1.8T,WD2000FYYZ-23UL,c14.5
sdb,1.8T,WD2000FYYZ-23UL,c14.5
sdc,1.8T,WD2000FYYZ-23UL,c14.5
sdd,1.8T,WD2000FYYZ-23UL,c14.5
sde,1.8T,WDC WD2003FZEX-0,c14.5
sdf,1.8T,WD2000FYYZ-23UL,c14.5
sdg,1.8T,WDC WD2003FZEX-0,c14.5
sdh,1.8T,WDC WD2003FZEX-0,c14.5
sdi,1.8T,WD2000FYYZ-23UL,c14.5
sdj,1.8T,WD2000FYYZ-23UL,c14.5
sdk,1.8T,WD2000FYYZ-23UL,c14.5
sda,1.8T,WD2000FYYZ-23UL,c14.6
sdb,1.8T,WD2000FYYZ-23UL,c14.6
sdc,1.8T,WD2000FYYZ-23UL,c14.6
sdd,1.8T,WD2000FYYZ-23UL,c14.6
sde,1.8T,WD2000FYYZ-23UL,c14.6
sdf,1.8T,WD2000FYYZ-23UL,c14.6
sdg,1.8T,WD2000FYYZ-23UL,c14.6
sdh,1.8T,MG04ACA200N,c14.6
sdi,1.8T,WDC WD2003FZEX-0,c14.6
sdj,1.8T,WD2000FYYZ-23UL,c14.6
sdk,1.8T,WDC WD2003FZEX-0,c14.6
sda,1.8T,WD2000FYYZ-23UL,c14.8
sdb,1.8T,WD2000FYYZ-23UL,c14.8
sdc,1.8T,WDC WD2003FZEX-0,c14.8
sdd,1.8T,WD2000FYYZ-23UL,c14.8
sde,1.8T,WD2000FYYZ-23UL,c14.8
sdf,1.8T,WD2000FYYZ-23UL,c14.8
sdg,1.8T,WD2000FYYZ-23UL,c14.8
sdh,1.8T,WD2000FYYZ-23UL,c14.8
sdi,1.8T,WD2000FYYZ-23UL,c14.8
sdj,1.8T,WD2000FYYZ-23UL,c14.8
sdk,1.8T,WDC WD2003FZEX-0,c14.8
sda,1.8T,WD2000FYYZ-23UL,c14.9
sdb,1.8T,MG04ACA200N,c14.9
sdc,1.8T,WD2000FYYZ-23UL,c14.9
sdd,1.8T,WD2004FBYZ-23YC,c14.9
sde,1.8T,MG04ACA200N,c14.9
sdf,1.8T,WD2000FYYZ-23UL,c14.9
sdg,1.8T,WD2000FYYZ-23UL,c14.9
sdh,1.8T,WD2000FYYZ-23UL,c14.9
sdi,1.8T,WD2000FYYZ-23UL,c14.9
sdj,1.8T,WD2000FYYZ-23UL,c14.9
sdk,1.8T,WD2000FYYZ-23UL,c14.9
